play name	written	print	number of stages	len_stages_words	len_speeches_words	total_number_of_verbs	verbs set	number of unique verbs	stages_to_speeches_ratio	verb_diversity(uniqueverbs/totalverbs)	verbs_share_in_stages	av_stage_length	stages_to_all_text_ratio
Вишневый сад	1903	1904	575	6216	20703	575	подпевать,мычать,оставаться,вспылить,звать,играть,хватать,начинаться,осматривать,напевать,грозить,сходиться,говорить,брать,лопнуть,замахиваться,кивать,поглядеть,оторопеть,жать,полагать,слышаться,бояться,торжествовать,декламировать,вздрагивать,упасть,утомлять,стараться,рыдать,темнеть,потягиваться,обнимать,возмущаться,кланяться,трогать,одевать,стоить,бывать,восходить,поставлять,рассердиться,дуть,пить,запивать,ездить,доставать,рассыпать,встряхивать,подъезжать,обозначаться,потаскать,быть,меняться,качать,хотеть,попудриться,вскакивать,кашлять,ждать,становиться,поправлять,увидеть,вздыхать,опираться,сосать,чистить,всплескивать,высыпать,возвышаться,бить,доноситься,встречать,перелистывать,идти,дышать,спешить,стихать,мочь,испугаться,волноваться,бросаться,мечтать,прыгать,класть,семенить,оглянуться,закуривать,ходить,отворять,толкнуть,исчезать,глядеть,варить,хлопать,отворяться,удивляться,есть,цвести,возвращаться,отдавать,пошатываться,услышать,лежать,пудриться,сконфузить,приезжать,окидывать,смущать,называться,затворять,гореть,забросить,ронять,раздавливать,жаловаться,отвечать,натыкаться,звучать,удерживаться,выходить,смеяться,задумываться,чувствоваться,храпеть,плакать,заглядывать,сидеть,подходить,поцеловать,глядеться,просыпаться,опрокидывать,ощупывать,покривиться,настраиваться,наигрывать,опускаться,целовать,отнимать,вести,подавать,бормотать,пройти,упоминаться,звенеть,показываться,вынимать,скрипеть,оглядываться,держать,прислушиваться,ставить,вскрикивать,наливать,пожимать,сжиматься,раздаваться,вбегать,улыбаться,проносить,рвать,махать,хохотать,останавливаться,утешать,расслышать,кричать,дразнить,садиться,стягивать,целоваться,кашлянуть,топотать,искать,струшивать,стучать,усаживаться,заплакать,ласкаться,танцевать,зевать,схватывать,петь,вернуться,замирать,уронить,аплодировать,смотреть,тушить,шептать,переходить,усиливаться,падать,отъезжать,взглядывать,понравиться,делать,читать,наступать,стоять,слушать,ложиться,отходить,приходить,обрываться,уходить,входить,прощаться,надевать,хлопотать,дрожать,снимать,бежать,обнаруживать,запыхаться,убегать,слагать,	218	0.300246341109984	0.379130434782609	0.092503217503218	10.8104347826087	0.230914967123593
Вечер в Сорренте	1852	1888	142	1859	6362	175	удерживать,обращаться,идти,звать,выказываться,играть,бросаться,издавать,сидеть,схватывать,подходить,говорить,двигаться,оборачивать,звонить,петь,брать,чесать,поглядеть,целовать,краснеть,выскакивать,ходить,восклицать,вздрагивать,противиться,спать,стараться,глядеть,трепать,наклоняться,отворяться,падать,кланяться,взглядывать,оглядываться,делать,обращать,ставить,молчать,стоить,представлять,бывать,стоять,обвертывать,кончать,отходить,перебивать,протягивать,раздаваться,улыбаться,доставать,посмотреть,слушать,уходить,махать,входить,вертеть,качать,хотеть,вскакивать,надевать,вставать,снимать,помолчать,дергать,конфузиться,потуплять,соединять,кричать,вздыхать,садиться,выходить,стучать,подбегать,шевелиться,стучаться,смеяться,искать,выбегать,видеть,передразнивать,	82	0.292203709525306	0.468571428571429	0.094136632598171	13.0915492957746	0.226128208247172
Последние дни (Пушкин)	1935	1955	327	4938	18083	487	отступать,оставаться,припадать,играть,запечатывать,закрываться,напевать,грозить,говорить,приседать,брать,нащупывать,раздеваться,двинуться,слышаться,укрываться,угасать,желать,упасть,хихикать,приоткрываться,запорашивать,порхать,пронести,сниматься,кланяться,стукнуть,повертываться,взмахивать,выпивать,подниматься,писать,протягивать,очищаться,доставать,пить,разматывать,пьянеть,быть,осмеливаться,капать,убегать,ждать,поправлять,вздыхать,давиться,вспоминать,бить,окутывать,доноситься,убивать,перелистывать,идти,замечать,стихать,записывать,мелькнуть,бросаться,волноваться,мочь,устремляться,подслушивать,браться,загудеть,класть,звонить,собираться,тлеть,иметь,бледнеть,коситься,скрываться,отталкивать,давать,исчезать,глядеть,слышать,возвращаться,послышаться,поникать,пробивать,заваливаться,щуриться,окидывать,набросить,охать,швырять,волочиться,наливаться,перемигиваться,гореть,ронять,пробираться,отвечать,отодвигаться,гудеть,набрасывать,предлагать,пробиваться,выходить,смеяться,подбегать,разрезать,глянуть,появляться,заглядывать,сидеть,посидеть,уставать,подходить,пытаться,пробежать,следовать,засвистать,наигрывать,целовать,шепнуть,тереть,вести,застыть,подавать,бормотать,спать,проходить,всматриваться,продолжать,держать,показываться,вынимать,прикладывать,прислушиваться,ставить,клясться,влезать,наливать,вбегать,поколебаться,улыбаться,допивать,шарахнуться,стрелять,вставать,останавливаться,перекрещиваться,садиться,стучать,убывать,искать,сдерживать,встревожить,усаживаться,греть,вдевать,зареветь,махнуть,сбрасывать,загреметь,гаснуть,шептать,задергивать,смотреть,аплодировать,переходить,преграждать,целиться,щелкнуть,делать,обращать,попадать,читать,креститься,наступать,стоять,прищуриваться,слушать,отходить,обрываться,сочинять,щупать,крикнуть,тонуть,уходить,входить,прощаться,обжигаться,выделяться,рассматривать,снимать,начинать,открываться,поклониться,бежать,потечь,отплевываться,прятать,задувать,выбегать,подавлять,видеть,	199	0.273074158048996	0.408624229979466	0.098622924260834	15.1009174311927	0.214499804526302
Опрометчивый Турка, или: Приятно ли быть внуком?	not specified in tei	1863	46	718	2662	52	отворачиваться,обращаться,откашливаться,прерываться,сходить,играть,бросаться,издавать,сидеть,подходить,говорить,фыркать,обеспокоить,спрятаться,опускаться,целовать,шепелявить,останавливать,отворяться,оглядываться,сохранять,ставить,представлять,восходить,стоять,перебивать,происходить,улыбаться,быть,предполагать,шаркать,уходить,вытягивать,входить,вскакивать,готовиться,удаляться,ожидать,садиться,выходить,ударять,	41	0.269722013523666	0.788461538461538	0.072423398328691	15.6086956521739	0.212426035502959
Павел первый	1908	1908	456	7818	29608	598	отступать,подпевать,прятаться,оставаться,встречаться,играть,запечатывать,хватать,отодвигать,напевать,крестить,говорить,передвигать,всходить,приседать,брать,кивать,обнажать,отбегать,умолкать,полагать,возрастать,слышаться,отстраняться,упасть,вздрагивать,выхватывать,строиться,наваливаться,стараться,потягиваться,обнимать,кланяться,маршировать,славиться,восходить,сбегать,писать,бегать,пить,полировать,узнавать,подталкивать,заносить,хотеть,укладываться,вскакивать,бредить,пробовать,подыматься,напирать,ждать,разделять,салютовать,благословлять,становиться,расплющиваться,взбегать,всплескивать,бить,трещать,приотворять,доноситься,удерживать,забиваться,идти,стихать,выносить,выступать,бросаться,тащить,отпрядывать,класть,высовывать,светать,срывать,отталкивать,нести,давать,откидываться,кидаться,отворять,глядеть,наклоняться,отворяться,лежать,возвращаться,отдавать,расставлять,прислоняться,кончать,окружать,топать,хвататься,прижиматься,волочиться,взять,отпираться,гореть,выбеливать,ронять,спотыкаться,разнимать,оборачиваться,пробираться,отвечать,приподниматься,обертываться,сталкиваться,выходить,смеяться,гладить,подбегать,врываться,накуривать,греться,разрывать,плакать,заглядывать,склонять,сидеть,шикать,подходить,поцеловать,двигаться,спадать,нюхать,следовать,просыпаться,гасить,опрокидывать,накинуть,равняться,сносить,опускаться,целовать,шамкать,вести,подписывать,подавать,топтать,погасать,затыкать,спать,расступаться,втаскивать,продолжать,вынимать,держать,прикладывать,прислушиваться,молчать,копошиться,чадить,заикаться,вбегать,сообщаться,повторяться,махать,выбегать,вставать,соединять,дергать,останавливаться,приставлять,освещать,дотрагиваться,кричать,ранить,садиться,дремать,поддерживать,забивать,искать,изменяться,пощипать,ударять,зевать,сходить,петь,утыкаться,комкать,терять,гаснуть,смотреть,выбивать,хлопнуть,падать,взглядывать,вырывать,делать,подымать,палить,креститься,читать,наступать,раскачиваться,обкладывать,перескакивать,стоять,думать,отходить,приходить,уходить,входить,усаживать,биться,мерить,надевать,дрожать,помолчать,трястись,снимать,красить,забегать,ломать,открываться,бежать,толкать,запыхаться,убегать,	221	0.264050256687382	0.369565217391304	0.076490150933743	17.1447368421053	0.208892213968899
Клоп	1928	1929	166	3277	12699	315	отступать,отворачиваться,подпевать,шататься,плеваться,хватать,играть,осматривать,выкрикивать,напевать,уползать,говорить,оборачивать,обнажать,поблескивать,вздыматься,руководить,остеклять,созывать,заворачивать,шагать,строиться,покашливать,подхихикивать,затоваривать,вцепляться,повеселеть,приподымать,маршировать,распахнуть,взмахивать,приглядываться,сбегать,разваливаться,выворачивать,вглядываться,меняться,вырываться,возиться,фокстротировать,хотеть,докладывать,вскакивать,расхаживать,капать,покачиваться,вдыхать,подыматься,вытряхивать,въезжать,становиться,заплетаться,вздыхать,чистить,всплескивать,любоваться,стоптать,идти,скидывать,бросаться,придерживать,тащить,грохать,заслонять,звонить,скользить,перебегать,распахиваться,срывать,скликать,выскакивать,прорываться,мыть,отталкивать,нести,откидываться,приближаться,наклоняться,есть,сдувать,расставлять,окружать,просвечивать,хвататься,стонать,отшатываться,швырять,прижиматься,набрасываться,свистнуть,развевать,вытягивать,разлохмачивать,беспокоиться,ронять,включаться,разнимать,крутнуть,оборачиваться,приподниматься,висеть,натыкаться,откалывать,выходить,орать,прерывать,лезть,высовываться,врываться,тухнуть,плакать,сидеть,раскланиваться,почесываться,подходить,заливаться,пытаться,регистрировать,опрокидывать,загораться,вышвыривать,опрокидываться,целовать,вытаскивать,тереть,подавать,покупать,прижимать,бормотать,карабкаться,сохранять,прислушиваться,ловить,отхлынуть,оттаскивать,наклонять,ставить,проветривать,наливать,онемевать,вбегать,чертить,озираться,повторять,распоряжаться,переговариваться,вертеть,мерять,нагибаться,повертывать,вставать,смолкать,отклонять,оттеснять,кричать,выдвигать,беречь,садиться,целоваться,распределять,передавать,искать,расходиться,сбивать,вскарабкиваться,очутиться,схватывать,вылетать,тыкать,валяться,петь,откидывать,свешиваться,замирать,рвануть,смотреть,аплодировать,задергивать,разевать,повисать,переходить,молкнуть,падать,отстранять,сыграть,нацепливать,подымать,сопеть,делать,влазить,обгрязнять,выражаться,стоять,развинчивать,отходить,уставлять,тянуться,раскрываться,уходить,кидать,впиваться,взъерошивать,входить,сравнивать,облицовывать,надевать,снимать,затихать,вертеться,бежать,нажимать,тянуть,тушиться,выбегать,подавлять,посадить,видеть,сиять,	218	0.258051815103551	0.692063492063492	0.096124504119622	19.7409638554217	0.205120180270406
Машенька	1940	1941	477	6041	24068	570	оставаться,помогать,хватать,распаляться,осматривать,начинаться,недопивать,говорить,поздравлять,хмыкать,брать,кивать,отбегать,поглядеть,расстегнуть,притихать,умолкать,жать,полагать,отстраняться,шагать,заворачивать,осекаться,вздрагивать,пойти,засучивать,рыдать,обнимать,распахнуть,подражать,повертываться,одевать,подниматься,писать,протягивать,дирижировать,закладывать,доставать,останааливать,запинаться,подталкивать,качать,хотеть,вскакивать,расхаживать,пользоваться,подыматься,называть,обводить,ждать,увидеть,поправлять,вздыхать,опираться,ткнуть,обессиливать,бить,всплескивать,доноситься,встречать,распахивать,идти,замечать,спешить,обниматься,курить,записывать,притягивать,бросаться,тащить,мочь,пробоваться,звонить,класть,срывать,выскакивать,скрываться,ходить,давать,нести,отворять,догонять,кидаться,горячиться,лежать,возвращаться,осматриваться,сажать,прыснуть,кончать,окружать,развертывать,сохраняться,стирать,приговаривать,смущать,взять,нарисовать,свистнуть,затворять,гореть,оборачиваться,здороваться,сгрудиться,висеть,обертываться,посмеиваться,выходить,смеяться,задумываться,полулежать,гладить,посмотреть,подбегать,овладевать,приниматься,одеваться,плакать,появляться,заглядывать,склонять,сидеть,отделять,дождаться,подходить,заливаться,пытаться,накинуть,поймать,служить,целовать,вести,хромать,подавать,останавливать,бормотать,спать,кончаться,решаться,проходить,продолжать,вынимать,держать,прикладывать,спеленать,прислушиваться,ставить,ловить,молчать,шатать,теребить,раздвигать,засмеяться,раздаваться,вбегать,улыбаться,зажимать,выпрямляться,подхватывать,работать,усмехаться,дергаться,помещаться,выбегать,ошеломлять,валиться,вставать,соединять,останавливаться,торопиться,удаляться,кричать,садиться,знать,стучать,сдерживать,искать,передавать,заниматься,ударять,заплакать,включать,отвертываться,требовать,танцевать,сказать,схватывать,махнуть,цепляться,выключать,учиться,хмыкнуть,просить,смотреть,шептать,запевать,хлопнуть,прыскать,преграждать,падать,взглядывать,делать,обращать,подымать,читать,представлять,выдерживать,стоять,слушать,отходить,пристраивать,уходить,входить,прощаться,сбиваться,усаживать,успевать,следить,хлопотать,рассматривать,надевать,дрожать,начинать,напяливать,открываться,поклониться,затихать,вешать,бежать,смущаться,тянуть,прятать,убегать,видеть,	234	0.250997174671763	0.410526315789474	0.094355239198808	12.664570230608	0.200637683084792
Смерть Тарелкина	not specified in tei	1869	675	5620	23301	544	прятаться,припадать,горбиться,хватать,осматривать,грозить,прошедшаться,говорить,фыркать,тосковать,брать,отбегать,замахиваться,поглядеть,жать,смешаться,возрастать,подпираться,подступать,стукать,причитать,припоминать,вздрагивать,простаивать,получать,стараться,сторониться,упираться,обнимать,кланяться,метаться,повертываться,выпивать,распечатывать,протягивать,разваливаться,доставать,пить,запивать,подумать,встряхивать,накидывать,проходиться,вырываться,быть,отбиваться,оживляться,подталкивать,качать,хотеть,докладывать,вскакивать,убегать,покачиваться,ухватываться,становиться,поправлять,коробиться,вздыхать,опираться,вытягиваться,увлекаться,бить,болтать,захлопывать,резать,любоваться,удерживать,обращаться,идти,стихать,голосить,бросаться,тащить,подстегивать,браться,заслонять,жевать,класть,высовывать,складывать,крутить,коситься,ходить,отсчитывать,нести,давать,отворять,притряхивать,оробеть,схватываться,хлопать,горячиться,есть,расставлять,возвращаться,импровизировать,осматриваться,сажать,отдавать,оперировать,окидывать,взять,рисоваться,насыкиваться,катиться,подставлять,опоражнивать,разнимать,колотить,пробираться,наталкивать,присматриваться,приподниматься,обертываться,рыться,выходить,вопить,подбегать,смеяться,стучаться,прерывать,посмотреть,скреплять,жаться,запыхаться,плакать,заткнуть,крепиться,затягивать,сидеть,раскланиваться,покачать,подходить,увертываться,нюхать,поймать,опускаться,возвращать,тереть,хромать,вытаскивать,подавать,останавливать,содрогаться,затыкать,подписывать,продолжать,вынимать,держать,шипеть,прислушиваться,ставить,шатать,вставлять,наливать,прибодриться,вбегать,перебивать,озираться,подхватывать,махать,хохотать,вламываться,помахивать,вставать,уцепляться,валиться,останавливаться,подождать,кричать,постоять,укладывать,тронуть,садиться,отламывать,стучать,передавать,искать,рваться,заниматься,ударять,ласкаться,сбивать,помяться,схватывать,подмаргивать,освобождаться,махнуть,прикручивать,тыкать,передражнивать,переодевать,терять,смотреть,переходить,хлопнуть,встряхиваться,робеть,падать,подвигаться,делать,подымать,замолкать,вскидываться,читать,становить,стоять,думать,слушать,отходить,кокать,уходить,входить,усаживать,рассматривать,надевать,снимать,начинать,помолчать,проталкивать,застегиваться,приуныть,подмигивать,бежать,толкать,оправляться,плевать,нежничать,выбегать,передразнивать,припрятываться,	232	0.24119136517746	0.426470588235294	0.096797153024911	8.32592592592593	0.194322464645068
Васса Железнова (Мать)	1910	1910	466	4497	18952	446	покраснеть,вспылить,мигать,погладить,хватать,осматривать,грозить,фыркать,говорить,приседать,брать,кивать,спрятаться,притихать,привставать,полагать,фыркнуть,являться,наклонить,осекаться,отскочить,вздрагивать,потянуть,стараться,рыдать,метаться,обнимать,кланяться,обматывать,одевать,подниматься,выпивать,поглядывать,закладывать,проходиться,доставать,пьянеть,пить,чесаться,переглядываться,запинаться,качать,хотеть,переставать,вскакивать,расхаживать,становиться,поправлять,увидеть,вздыхать,верить,охнуть,направляться,полусмеяться,идти,захлебываться,замечать,полуплакать,курить,зевнуть,бросаться,испугаться,держаться,прыгать,звонить,класть,крутить,ходить,отталкивать,отворять,толкнуть,исчезать,глядеть,наклоняться,слышать,отворяться,горячиться,услышать,возвращаться,пошатываться,хвататься,отшатываться,прижиматься,смущать,взять,удивлять,настораживаться,затворять,побагроветь,нахмуриться,гореть,воротиться,одеревенеть,отвечать,обертываться,выходить,смеяться,задумываться,орать,умолять,завязнуть,отмахиваться,плакать,взволновать,заглядывать,нахмуриваться,сидеть,подходить,поцеловать,ухмыляться,гасить,следовать,очнуться,опускаться,целовать,тереть,впадать,останавливать,бормотать,прижимать,обозлиться,проходить,воодушевляться,держать,шипеть,оглядываться,разглядывать,пришпиливать,прислушиваться,спрятать,молчать,наливать,вбегать,улыбаться,выпадать,кипеть,захватить,выпрямляться,махать,хохотать,усмехаться,хмуриться,выбегать,вставать,дергать,останавливаться,дотрагиваться,волочить,заваливать,кричать,садиться,уклоняться,растрепывать,поддерживать,ударять,зевать,схватывать,сходить,щелкать,кутаться,ворчать,встрепенуться,крякать,хрипеть,просить,смотреть,шептать,хлопнуть,падать,взглядывать,делать,шевелить,креститься,уступать,стоять,слушать,дрогнуть,подкрадываться,растопыривать,шаркать,уходить,сваливаться,входить,усаживать,следить,успевать,снимать,трястись,помолчать,забегать,сменяться,подмигивать,пошатнуться,бежать,прыгнуть,толкать,тянуть,оцепенеть,вертеться,оправляться,шевелиться,убегать,подавлять,передразнивать,	204	0.237283663993246	0.457399103139013	0.099177229263954	9.65021459227468	0.191777900976588
На большой дороге	1884	1914	218	2045	8985	198	оставаться,хватать,осматривать,говорить,поглядеть,слышаться,укрываться,отскакивать,стараться,рыдать,потягиваться,кланяться,взмахивать,одевать,подниматься,развалиться,дуть,доставать,пить,вглядываться,подъезжать,узнавать,располагаться,хотеть,качать,вскакивать,кашлять,становиться,вздыхать,всплескивать,бить,захлопывать,идти,выносить,класть,собираться,высовывать,закуривать,ходить,отталкивать,отворять,глядеть,хлопать,отдавать,пошатываться,осматриваться,стонать,уезжать,оборачиваться,приподниматься,висеть,вкопать,рыться,задумываться,смеяться,выходить,полулежать,подбегать,плакать,сидеть,подходить,наигрывать,вытаскивать,вести,подавать,ежиться,спать,держать,ловить,вскрикивать,наливать,пожимать,махать,хохотать,сконфузиться,вставать,останавливаться,кричать,садиться,стучать,расплачиваться,смотреть,тушить,переходить,падать,отстранять,вырывать,уступать,представлять,стоять,ложиться,отходить,уходить,входить,рассматривать,растягиваться,снимать,бежать,толкать,убегать,	100	0.227601558152476	0.505050505050505	0.096821515892421	9.38073394495413	0.185403445149592
На дне	1902	1903	525	6323	28244	596	шататься,наблюдать,прятаться,отступать,помогать,заходить,встречаться,играть,хватать,осматривать,рождаться,напевать,грозить,хозяйничать,фыркать,говорить,молиться,брать,кивать,обвалиться,раздеваться,являться,грызть,желать,расталкивать,торжествовать,выхватывать,вздрагивать,взвизгивать,рычать,стаивать,трепать,стараться,метаться,обнимать,трогать,закапчивать,красться,взмахивать,подражать,подниматься,выпивать,протягивать,пить,встряхивать,накидывать,быть,возиться,очерчивать,качать,переставать,хотеть,укладываться,вскакивать,пробовать,убегать,кашлять,становиться,вздыхать,сгибаться,исковеркивать,вытягиваться,выскочить,чинить,зарастать,бить,доноситься,встречать,направляться,увидать,распахивать,идти,выносить,стихать,бросаться,держаться,прыгать,жевать,класть,обходить,собираться,размахиваться,высовывать,расти,скрываться,сомневаться,отталкивать,толпиться,отворять,давать,приближаться,исчезать,глядеть,наклоняться,хлопать,приготовляться,отворяться,лежать,возвращаться,отдавать,осматриваться,топать,приплясывать,сконфузить,стонать,прижиматься,успокаиваться,засорять,свистнуть,кроить,вспрыгивать,затворять,обрубать,оборачиваться,отвечать,приподниматься,отодвигаться,висеть,звучать,посмеиваться,сталкиваться,выходить,задумываться,смеяться,прерывать,гладить,высовываться,видеть,звякать,плакать,разбивать,появляться,заглядывать,склонять,сидеть,слезать,придерживаться,подходить,свистеть,пытаться,следовать,просыпаться,отнимать,вести,бормотать,прижимать,примеривать,продолжать,скрипеть,оглядываться,прислушиваться,молчать,теряться,наклонять,влезать,наливать,раздаваться,улыбаться,прикреплять,зажимать,подхватывать,махать,облокотиться,работать,хохотать,усмехаться,помещаться,повертывать,помахивать,вставать,закинуть,конфузиться,останавливаться,удаляться,освещать,кричать,постоять,размахивать,садиться,стягивать,поддерживать,стучать,озлоблять,искать,растрепывать,заливать,ударять,оборвать,суетиться,отвертываться,сломать,зевать,сказать,гнаться,ворчать,спорить,петь,гаснуть,дребезжать,смотреть,шептать,жить,запевать,вслушиваться,выглядывать,падать,подвигаться,съеживаться,делать,читать,пугаться,стоять,ложиться,слушать,отходить,пятиться,уходить,визжать,входить,усаживать,следить,надевать,дрожать,помолчать,задыхаться,начинать,бежать,толкать,плевать,выбегать,выть,стряхивать,распарывать,передразнивать,	234	0.223870556578388	0.39261744966443	0.094259054246402	12.0438095238095	0.18292012613186
Актеон	1913	1913	55	510	2309	51	ворочать,охотиться,замечать,помогать,выносить,разбегаться,звать,появляться,подходить,говорить,перекликаться,петь,ломаться,раздеваться,смотреть,откидываться,скандировать,исчезать,наклоняться,метаться,обнимать,падать,лежать,подниматься,отдыхать,ложиться,протягивать,поддаваться,отшатываться,стирать,озираться,уходить,выпрямляться,набегать,качать,входить,хмуриться,работать,начинать,кричать,садиться,болтать,	42	0.220874837592031	0.823529411764706	0.1	9.27272727272727	0.180915218162469
Мистерия-буфф	not specified in tei	1921	298	3573	16363	358	отступать,подпевать,оставаться,шататься,осматривать,отодвигать,перекликаться,отбегать,брать,замахиваться,вздыматься,двинуться,гнать,желать,сжирать,расталкивать,вестись,стараться,хмелеть,силиться,упираться,побивать,назревать,расплакаться,кланяться,распахнуть,трогать,взъяриться,подниматься,писать,протягивать,дирижировать,устанавливать,водворяться,разматывать,вглядываться,меняться,разносить,подумать,разлечься,подталкивать,возиться,качать,укладываться,располагаться,вскакивать,ораторствовать,прорезать,подыматься,прикрикивать,разделять,ждать,опутывать,поправлять,подрываться,грохаться,смыкаться,плакаться,бить,обмирать,трещать,развертываться,доноситься,громоздиться,распахивать,обращаться,идти,забиваться,вгрызаться,загонять,бросаться,завертеться,вливаться,взбираться,собираться,вооружаться,заверещать,тереться,распахиваться,сделать,рассыпаться,выскакивать,прорываться,разбираться,скрываться,вываливаться,приближаться,исчезать,глядеть,удивляться,скатываться,взяться,возвращаться,возопить,пошатываться,замыкать,вылазить,поникать,пробивать,греметь,окружать,окидывать,швырять,прижиматься,мелькать,успокаиваться,взгромождаться,выстраиваться,утаскивать,набрасываться,разгребать,засматривать,вываливать,разнимать,сгрудиться,приподниматься,раскладывать,долезать,галдеть,натыкаться,шарить,орать,подбегать,задумываться,лезть,выходить,посматривать,высовываться,врываться,прицепляться,жаться,вылезать,плакать,вписывать,наддавать,заглядывать,появляться,удесятерять,опустеть,измокать,пытаться,ухмыляться,опрокидывать,загораться,добивать,придавливать,спускаться,звереть,вести,засуетиться,увенчивать,оправдываться,строчить,конвоировать,негодовать,раскачивать,всматриваться,показываться,отделяться,карабкаться,оглядываться,тузить,отхлынуть,прислушиваться,разглядывать,влезать,вбегать,перебивать,наседать,распоряжаться,налезать,рыть,повторять,разрушать,зажимать,валить,вырисовываться,растериваться,махать,костылять,работать,разбудить,ковырять,намечаться,выбегать,повертывать,низвергаться,рассаживаться,смолкать,выкликать,останавливаться,отматывать,притаиться,ухватывать,кричать,задеть,перекрещиваться,выстраивать,запахнуть,садиться,поддерживать,забивать,искать,выползать,расходиться,рваться,отваливать,сердиться,сбрасывать,вылетать,пошептаться,ступать,отлетать,утыкаться,вваливаться,вырастать,придвигаться,петь,откидывать,скулить,замирать,расхныкаться,смотреть,вслушиваться,убеждаться,склоняться,падать,вырывать,похлопывать,подымать,попадать,влазить,перемахивать,креститься,наступать,стоять,отходить,приходить,цыкнуть,возглавлять,мямлить,раскрываться,входить,оттягивать,растягиваться,снимать,начинать,апеллировать,нахлынуть,ломать,катить,бежать,всхлипывать,надоедать,выжимать,рушиться,отмеривать,ковылять,видеть,сиять,	260	0.218358491719122	0.726256983240223	0.100195913797929	11.989932885906	0.179223515248796
Не убий	1913	1913	341	7144	32856	612	оставаться,сервировать,играть,хватать,осматривать,почернеть,говорить,поздравлять,тосковать,хмыкать,отбегать,брать,привставать,попадаться,торчать,полагать,доходить,устраивать,отстраняться,перекашиваться,стукать,припоминать,вздрагивать,восклицать,приоткрываться,хихикать,стараться,трепать,хмелеть,кряхтеть,потягиваться,кланяться,опухать,повеселеть,закапчивать,распахнуть,взмахивать,обнимать,одевать,выпивать,исщерблять,отдыхать,подниматься,готовить,погибать,отдергивать,поставлять,дуть,пить,бегать,вызванивать,разваливаться,быть,закладывать,ползать,запинаться,оживляться,глотать,качать,хотеть,ехать,покачиваться,подыматься,презирать,кашлять,кривить,ждать,разделять,обводить,становиться,увидеть,поправлять,обдумывать,вздыхать,опираться,полуобгорать,зарастать,бить,всплескивать,слыхать,доноситься,встречать,пугать,убивать,считать,менять,любоваться,идти,курить,замечать,выносить,выступать,переплетаться,отлипать,подвертываться,мочь,дышать,бросаться,браться,волноваться,держаться,тащить,шарахаться,звонить,класть,собираться,вышивать,закутываться,иметь,брить,распахиваться,закуривать,медлить,сделать,давать,отталкивать,отворять,приближаться,переменять,гримасничать,глядеть,исчезать,наклоняться,хлопать,светить,слышать,есть,лежать,различаться,причесывать,пошатываться,возвращаться,постучаться,обставлять,греметь,топать,мерцать,хвататься,стонать,уметь,прижиматься,успокаиваться,смущать,цмокать,гореть,забросить,взметываться,отбивать,оборачиваться,присматриваться,уговаривать,приподниматься,предлагать,напудривать,напоминать,задумываться,смеяться,выходить,побледнеть,отказываться,подбегать,посматривать,высовываться,храпеть,врываться,гладить,разрывать,разбивать,плакать,прослезиться,взволновать,сидеть,сопротивляться,отделять,подходить,слезать,свистеть,пытаться,нюхать,гасить,просыпаться,засвистать,опускаться,озарять,вытаскивать,целовать,оскаливаться,подавать,расползаться,бормотать,прижимать,спать,представлять,продолжать,вынимать,воодушевляться,показываться,оглядываться,держать,заменять,прислушиваться,спрятать,осыпать,молчать,наклонять,опешить,пьянствовать,проскальзывать,наливать,вскрикивать,вбегать,происходить,оправлять,улыбаться,повторять,казаться,проявлять,перебивать,озираться,починать,покачивать,хохотать,трясти,усмехаться,белеть,помещаться,хмуриться,помахивать,вставать,режиссировать,постанывать,останавливаться,валиться,волочить,состоять,кричать,садиться,знать,целоваться,плясать,отдышаться,искать,стучать,соваться,ударять,суетиться,послушать,танцевать,щелкать,кутаться,оказываться,притопывать,ворочаться,сплевывать,спорить,вваливаться,петь,повалить,продолжаться,носить,замирать,испугать,хрипеть,смотреть,запевать,тушить,шептать,будить,попрощаться,падать,понравиться,взглядывать,делать,обращать,покусывать,креститься,читать,выдерживать,стесняться,стоять,слушать,думать,приходить,отходить,оставлять,поддаваться,нависать,ложиться,откладывать,уходить,задерживаться,входить,обвисать,спеваться,рассматривать,надевать,дрожать,начинать,задыхаться,открываться,выпучивать,настраивать,подмигивать,бежать,прятать,оправляться,обниматься,распухать,выбегать,видеть,слагать,	311	0.217433649866082	0.508169934640523	0.085666293393057	20.950146627566	0.1786
